match_id,competition_id,season_id,stage,matchday,date,kickoff,venue_id,home_team_id,away_team_id,home_goals,away_goals,status,awarded_note,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at,extra_time,home_pens,away_pens,referee,assistant_referee_1,assistant_referee_2,fourth_official,home_coach,away_coach,referee_id,assistant_referee_1_id,assistant_referee_2_id,fourth_official_id,home_coach_id,away_coach_id
MW_NDL_2627_002,MW_NDL,MW_2026_27,md_1,1,2026-05-16,,MW_RU_001,MW_MCH_M1,MW_BAS_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_003,MW_NDL,MW_2026_27,md_1,1,2026-05-16,,MW_Z_001,MW_CB_M1,MW_EU_M1,0,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_004,MW_NDL,MW_2026_27,md_1,1,2026-05-17,,MW_BAL_001,MW_NU_M1,MW_SBU_M1,2,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_005,MW_NDL,MW_2026_27,md_1,1,2026-05-17,,MW_B_001,MW_MT_M1,MW_CBWE_M1,3,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_006,MW_NDL,MW_2026_27,md_1,1,2026-05-17,,MW_MU_001,MW_FFC_M1,MW_NS_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_007,MW_NDL,MW_2026_27,md_2,2,2026-05-22,,MW_B_001,MW_CBWE_M1,MW_FFC_M1,0,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_008,MW_NDL,MW_2026_27,md_2,2,2026-05-23,,MW_B_002,MW_NS_M1,MW_NZ_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_009,MW_NDL,MW_2026_27,md_2,2,2026-05-23,,MW_KAR_001,MW_SBU_M1,MW_MCH_M1,1,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_010,MW_NDL,MW_2026_27,md_2,2,2026-05-24,,MW_B_001,MW_BAS_M1,MW_MT_M1,2,2,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_011,MW_NDL,MW_2026_27,md_2,2,2026-05-24,,MW_RU_001,MW_EU_M1,MW_NU_M1,2,1,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
MW_NDL_2627_012,MW_NDL,MW_2026_27,md_2,2,2026-05-24,,MW_MCJ_002,MW_EXFC_M1,MW_CB_M1,3,0,played,,facebook,,,,confirmed,,,,,,,,,,,,,,,,,
