match_id,team_id,player_name,player_id,shirt_number,position,role,captain,motm,minute_on,minute_off,replaced_player,yellow_card,yellow_red_card,red_card
MW_SL_2627_093,MW_CU_M1,Godfrey Kwiyokwa,CAF_MW_000678,17,,starting,1,,,,,,,
MW_SL_2627_041,MW_SS_M1,Zebron Kalima,CAF_MW_000353,10,,starting,,,,90,,,,
MW_SL_2627_020,MW_SS_M1,Zebron Kalima,CAF_MW_000353,10,,starting,1,,,46,,,,
MW_SRFA_2627_079,MW_LBTY_M1,Believe June,CAF_MW_000699,,,starting,,,,,,,,
MW_SRFA_2627_079,MW_BULL_M2,Zaneel Jussab,CAF_MW_000614,,,starting,,,,,,,,
MW_SL_2627_092,MW_SS_M1,Dan Sandukira,CAF_MW_000553,,,starting,,,,,,1,,
MW_SL_2627_030,MW_SS_M1,Zebron Kalima,CAF_MW_000353,10,,starting,1,1,,84,,,,
MW_SL_2627_011,MW_SS_M1,Zebron Kalima,CAF_MW_000353,10,,starting,1,,,60,,,,
MW_SL_2627_003,MW_SS_M1,Zebron Kalima,CAF_MW_000353,10,,starting,1,,,70,,,,
MW_SL_2627_086,MW_BULL_M1,Yamikani Mologeni,CAF_MW_000579,2,,starting,,,,,,,,
MW_SRFA_2627_087,MW_MS_M1,Heroes Kaukonde,CAF_MW_000716,2,,starting,,,,,,,,
MW_SRFA_2627_091,MW_MWU_M1,Emmanuel Mthepheya,CAF_MW_000729,13,,starting,,,,,,,,
MW_TOP8_2627_011,MW_MW_M1,Sanudi,CAF_MW_001087,12,,starting,,,,,,,,
MW_SRFA2_2627_028,MW_LIM_M1,Maxwell Kamanga,CAF_MW_000749,2,DF,starting,,,,42,,,,
MW_SL_2627_099,MW_REDL_M1,Chikwata,CAF_MW_000769,3,,starting,,,,,,,,
MW_SL_2627_099,MW_MB_M1,Black Aliseni,CAF_MW_000787,5,,starting,1,,,,,,,
MW_SL_2627_091,MW_MB_M1,Black Aliseni,CAF_MW_000787,5,,starting,1,,,,,,,
MW_SRFA_2627_096,MW_MWU_M1,Farook Ndasowa,CAF_MW_000747,2,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MC_M1,Daniel Selengo,CAF_MW_000816,15,,starting,,,,,,,,
MW_TOP8_2627_011,MW_EFC_M1,Hermas,CAF_MW_001096,17,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MV_M1,Frank Kasalika,CAF_MW_000833,5,,starting,,,,,,,,
MW_CRFA2_2627_020,MW_LOBIYS_M1,Yusufu Mdala,CAF_MW_000858,8,,starting,,,,,,,,
MW_NRFA_2627_049,MW_CZU_M1,Movert Katapa,CAF_MW_000901,25,DF,starting,,,,,,,,
MW_SL_2627_082,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,,,starting,,,,34,,,,
MW_SL_2627_101,MW_KU_M1,Innocent Chitete,CAF_MW_000595,3,,starting,,,,,,,,
MW_SL_2627_098,MW_SS_M1,Tatenda M'Balaka,CAF_MW_000542,,,starting,,,,,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Kizito Thethe,CAF_MW_000570,12,,starting,,,,,,,,
MW_SL_2627_069,MW_SS_M1,Innocent Shema,CAF_MW_000109,4,,starting,,,,,,,,
MW_SL_2627_080,MW_SS_M1,Nickson Mwase,CAF_MW_000434,,,starting,,,,,,,,
MW_TOP8_2627_008,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,,,starting,,,,,,,,
MW_KU19_2627_030,MW_BULL_U19,Joel Maziya,CAF_MW_000644,,,starting,,,,,,1,,
MW_TOP8_2627_004,MW_SS_M1,Tatenda M'Balaka,CAF_MW_000542,,,starting,,,,77,,1,,
MW_SL_2627_060,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,,,starting,,,,84,,,,
MW_KU19_2627_030,MW_CCS_MU19,Emmanuel Mawaya,CAF_MW_000662,,,starting,,,,,,,,
MW_SL_2627_050,MW_SS_M1,Dan Sandukira,CAF_MW_000553,,,starting,,,,,,,,
MW_SRFA_2627_090,MW_EFC_M2,Rex Chikaya,CAF_MW_000208,,,starting,,,,,,1,,
MW_SL_2627_101,MW_BULL_M1,Blessings Mpokera,CAF_MW_000025,4,,starting,1,,,,,,,
MW_SRFA_2627_090,MW_BULL_M2,Precious Juma,CAF_MW_000612,,,starting,,,,,,,,
MW_SL_2627_039,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,19,,starting,,,,,,,,
MW_SL_2627_093,MW_BULL_M1,Blessings Mpokera,CAF_MW_000025,4,,starting,1,,,,,,,
MW_SL_2627_093,MW_CU_M1,Isaac Simfukwe,CAF_MW_000680,,,starting,,,,,,,,
MW_SL_2627_041,MW_SS_M1,Innocent Mtonga,CAF_MW_000550,25,,starting,,,,,,,,
MW_SL_2627_020,MW_SS_M1,Mcdonald Lameck,CAF_MW_000169,2,,starting,,,,,,,,
MW_SRFA_2627_079,MW_LBTY_M1,Joseph Kabila,CAF_MW_000700,,,starting,,,,,,,,
MW_SRFA_2627_079,MW_BULL_M2,Precious Juma,CAF_MW_000612,,,starting,,,,,,,,
MW_SL_2627_092,MW_SS_M1,Yankho Billiat,CAF_MW_000554,,,starting,,,,90+4,,,,
MW_SL_2627_030,MW_SS_M1,Mcdonald Lameck,CAF_MW_000169,2,,starting,,,,,,,,
MW_SL_2627_011,MW_SS_M1,Nickson Mwase,CAF_MW_000434,5,,starting,,,,,,,,
MW_SL_2627_003,MW_SS_M1,Innocent Shema,CAF_MW_000109,4,,starting,,,,,,1,,
MW_SL_2627_086,MW_BULL_M1,Peter Banda,CAF_MW_000402,7,,starting,,,,46,,,,
MW_SRFA_2627_087,MW_MS_M1,Muhamad Paloti,CAF_MW_000717,3,,starting,,,,,,,,
MW_SRFA_2627_091,MW_MWU_M1,Fyton William,CAF_MW_000730,5,,starting,,,,70,,,,
MW_TOP8_2627_011,MW_MW_M1,Emmanuel Nyirenda,CAF_MW_000475,22,,starting,1,,,,,,,
MW_SRFA2_2627_028,MW_LIM_M1,Robert Kapinga,CAF_MW_000750,3,DF,starting,,,,,,,,
MW_SL_2627_099,MW_REDL_M1,Mwetse,CAF_MW_000770,2,,starting,,,,,,,,
MW_SL_2627_099,MW_MB_M1,Mtopijo Njewa,CAF_MW_000788,60,,starting,,,,78,,,,
MW_SL_2627_091,MW_MB_M1,Mtopijo Njewa,CAF_MW_000788,60,,starting,,,,,,,,
MW_SRFA_2627_096,MW_MWU_M1,Rahman Mtuma,CAF_MW_000737,4,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MC_M1,Roosevelt Njikho,CAF_MW_000817,3,,starting,,,,,,,,
MW_TOP8_2627_011,MW_EFC_M1,Mphepo,CAF_MW_001097,19,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MV_M1,Chisomo Saint,CAF_MW_000834,12,,starting,,,,,,,,
MW_CRFA2_2627_020,MW_LOBIYS_M1,Dani Banda,CAF_MW_000859,30,,starting,,,,,,,,
MW_NRFA_2627_049,MW_CZU_M1,Allan Mlongola,CAF_MW_000292,3,DF,starting,1,,,,,,,
MW_SL_2627_082,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_SL_2627_101,MW_KU_M1,Yusuf Adesola Abdul-Waheed,CAF_MW_000596,5,,starting,,,,,,,,
MW_SL_2627_098,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Shalaf Duwe,CAF_MW_000562,15,,starting,,,,,,,,
MW_SL_2627_069,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,19,,starting,,,,,,,1,
MW_SL_2627_080,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_TOP8_2627_008,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_KU19_2627_030,MW_BULL_U19,Ahmad Ayami,CAF_MW_000645,,,starting,,,,,,,,
MW_TOP8_2627_004,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,,,starting,,,,,,,,
MW_SL_2627_060,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_SL_2627_050,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,,,starting,,,,,,,,
MW_KU19_2627_030,MW_CCS_MU19,Amidu Yahaya,CAF_MW_000663,,,starting,,,,,,,,1
MW_SRFA_2627_090,MW_EFC_M2,Innocent Ngunga,CAF_MW_000625,,,starting,,,,85,,,,
MW_SL_2627_101,MW_BULL_M1,Emmanuel Kaunga,CAF_MW_000580,26,,starting,,,,,,,,
MW_SRFA_2627_090,MW_BULL_M2,Feston Botoman,CAF_MW_000613,,,starting,,,,,,,,
MW_SL_2627_039,MW_SS_M1,Nickson Mwase,CAF_MW_000434,5,,starting,,,,,,,,
MW_SL_2627_093,MW_BULL_M1,Emmanuel Kaunga,CAF_MW_000580,26,,starting,,,,,,,,
MW_SL_2627_093,MW_CU_M1,Nelson Sikaona,CAF_MW_000681,2,,starting,,,,,,,,
MW_SL_2627_041,MW_SS_M1,Dan Sandukira,CAF_MW_000553,20,,starting,,,,,,,,
MW_SL_2627_020,MW_SS_M1,Nickson Mwase,CAF_MW_000434,5,,starting,,,,,,,,
MW_SRFA_2627_079,MW_LBTY_M1,Alista Sindo,CAF_MW_000701,,,starting,,,,,,,,
MW_SRFA_2627_079,MW_BULL_M2,Mtende Mayuni,CAF_MW_000696,,,starting,,,,,,1,,
MW_SL_2627_092,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_SL_2627_030,MW_SS_M1,Nickson Mwase,CAF_MW_000434,5,,starting,,,,,,,,
MW_SL_2627_011,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,19,,starting,,,,,,,,
MW_SL_2627_003,MW_SS_M1,Dan Sandukira,CAF_MW_000553,20,,starting,,,,,,,,
MW_SL_2627_086,MW_BULL_M1,Clever Kalambo,CAF_MW_000050,11,,starting,,,,,,1,,
MW_SRFA_2627_087,MW_MS_M1,Justin Tailosi,CAF_MW_000718,4,,starting,,,,,,,,
MW_SRFA_2627_091,MW_MWU_M1,Tatu Fole,CAF_MW_000731,6,,starting,,,,,,,,
MW_TOP8_2627_011,MW_MW_M1,Silwimba,CAF_MW_001088,13,,starting,,,,,,,,
MW_SRFA2_2627_028,MW_LIM_M1,Kelvin Betha,CAF_MW_000751,4,DF,starting,,,,,,,,
MW_SL_2627_099,MW_REDL_M1,Emmanuel,CAF_MW_000771,76,,starting,,,,,,,,
MW_SL_2627_099,MW_MB_M1,Philip Malingwele,CAF_MW_000789,45,,starting,,,,,,,,
MW_SL_2627_091,MW_MB_M1,Lusekero Malema,CAF_MW_000809,14,,starting,,,,51,,,,
MW_SRFA_2627_096,MW_MWU_M1,Happy Makause,CAF_MW_000746,15,,starting,,,,,,,,
MW_CRFA_2627_018,MW_MC_M1,Charles Mwale,CAF_MW_000818,6,,starting,,,,,,,,
MW_TOP8_2627_011,MW_EFC_M1,Lameck,CAF_MW_001098,14,,starting,1,,,,,,,
MW_CRFA_2627_018,MW_MV_M1,Kumbukani Bufote,CAF_MW_000835,4,,starting,,,,25,,,,
MW_CRFA2_2627_020,MW_LOBIYS_M1,Yamikani Luka,CAF_MW_000860,7,,starting,,,,,,,,
MW_NRFA_2627_049,MW_CZU_M1,Joseph Banda,CAF_MW_000290,13,DF,starting,,,,,,,,
MW_SL_2627_082,MW_SS_M1,Nickson Mwase,CAF_MW_000434,,,starting,,,,,,,,
MW_SL_2627_101,MW_KU_M1,William Mwalwimba,CAF_MW_000597,6,,starting,,,,,,,,
MW_SL_2627_098,MW_SS_M1,Nickson Mwase,CAF_MW_000434,,,starting,,,,,,,,
MW_BDU14_2627_001,MW_HEBW_M1,Peter Stephano,CAF_MW_000563,,,starting,,,,,,,,
MW_SL_2627_069,MW_SS_M1,Zebron Kalima,CAF_MW_000353,10,,starting,1,,,,,,,
MW_SL_2627_080,MW_SS_M1,Yankho Billiat,CAF_MW_000554,,,starting,,,,89,,,,
MW_TOP8_2627_008,MW_SS_M1,Yankho Billiat,CAF_MW_000554,,,starting,,,,,,1,,
MW_KU19_2627_030,MW_BULL_U19,Esau Kumwenda,CAF_MW_000646,,,starting,,,,,,,,
MW_TOP8_2627_004,MW_SS_M1,Mcdonald Lameck,CAF_MW_000169,,,starting,,,,,,,,
MW_SL_2627_060,MW_SS_M1,Yankho Billiat,CAF_MW_000554,,,starting,,,,,,,,
MW_SL_2627_050,MW_SS_M1,Innocent Shema,CAF_MW_000109,,,starting,,,,,,,,
MW_KU19_2627_030,MW_CCS_MU19,Clement Karonga,CAF_MW_000664,,,starting,,,,,,,,
MW_SRFA_2627_090,MW_EFC_M2,Blessings Mathyola,CAF_MW_000626,,,starting,,,,,,,,
MW_SL_2627_101,MW_BULL_M1,Prince Chiumia,CAF_MW_000581,31,,starting,,,,,,,,
MW_SRFA_2627_090,MW_BULL_M2,Zaneel Jussab,CAF_MW_000614,,,starting,,,,,,,,
MW_SL_2627_039,MW_SS_M1,Innocent Shema,CAF_MW_000109,4,,starting,,,,46,,1,,
MW_SL_2627_093,MW_BULL_M1,Prince Chiumia,CAF_MW_000581,31,,starting,,,,,,1,,
MW_SL_2627_093,MW_CU_M1,Blessings Joseph,CAF_MW_000021,4,,starting,,,,,,,,
MW_SL_2627_041,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,19,,starting,,,,,,,,
MW_SL_2627_020,MW_SS_M1,Lumbani Nyondo,CAF_MW_000556,19,,starting,,,,,,1,,
MW_SRFA_2627_079,MW_LBTY_M1,Chifundo Duwa,CAF_MW_000702,,,starting,,,,,,1,,
MW_SRFA_2627_079,MW_BULL_M2,Vincent Kampira,CAF_MW_000611,,,starting,,,,,,,,
MW_SL_2627_092,MW_SS_M1,Nickson Mwase,CAF_MW_000434,,,starting,,,,,,,,
MW_SL_2627_030,MW_SS_M1,Innocent Shema,CAF_MW_000109,4,,starting,,,,,,,,
MW_SL_2627_011,MW_SS_M1,Dan Sandukira,CAF_MW_000553,20,,starting,,,,80,,,,
MW_SL_2627_003,MW_SS_M1,Mcdonald Lameck,CAF_MW_000169,2,,starting,,,,,,,,
MW_SL_2627_086,MW_BULL_M1,Ephraim Kondowe,CAF_MW_000069,13,,starting,,,,65,,,,
