entry_id,competition_id,season_id,team_id,group,points_adjustment,adjustment_reason,status
MW_U16_26/27_BLU,MW_U16,MW_2026_27,MW_U16_BLU,,,,active
MW_U16_26/27_LLC,MW_U16,MW_2026_27,MW_U16_LLC,,,,active
MW_U16_26/27_MZU,MW_U16,MW_2026_27,MW_U16_MZU,,,,active
MW_U16_26/27_ZOM,MW_U16,MW_2026_27,MW_U16_ZOM,,,,active
MW_U16_26/27_BFC,MW_U16,MW_2026_27,MW_U16_BFC,,,,active
MW_U16_26/27_SMU,MW_U16,MW_2026_27,MW_U16_SMU,,,,active
MW_U16_26/27_ZU,MW_U16,MW_2026_27,MW_U16_ZU,,,,active
MW_U16_26/27_CWW,MW_U16,MW_2026_27,MW_U16_CWW,,,,active
MW_U16_26/27_LFC,MW_U16,MW_2026_27,MW_U16_LFC,,,,active
MW_U16_26/27_MU,MW_U16,MW_2026_27,MW_U16_MU,,,,active
MW_U16_26/27_MFC,MW_U16,MW_2026_27,MW_U16_MFC,,,,active
MW_U16_26/27_LA,MW_U16,MW_2026_27,MW_U16_LA,,,,active
MW_SL_26/27_BLUE_M1,MW_SL,MW_2026_27,MW_BLUE_M1,,,,active
MW_SL_26/27_MW_M1,MW_SL,MW_2026_27,MW_MW_M1,,,,active
MW_SL_26/27_SS_M1,MW_SL,MW_2026_27,MW_SS_M1,,,,active
MW_SL_26/27_BULL_M1,MW_SL,MW_2026_27,MW_BULL_M1,,,,active
MW_SL_26/27_REDL_M1,MW_SL,MW_2026_27,MW_REDL_M1,,,,active
MW_SL_26/27_MFC_M1,MW_SL,MW_2026_27,MW_MFC_M1,,,,active
MW_SL_26/27_EFC_M1,MW_SL,MW_2026_27,MW_EFC_M1,,,,active
MW_SL_26/27_MB_M1,MW_SL,MW_2026_27,MW_MB_M1,,,,active
MW_SL_26/27_MAFC_M1,MW_SL,MW_2026_27,MW_MAFC_M1,,,,active
MW_SL_26/27_CS_M1,MW_SL,MW_2026_27,MW_CS_M1,,,,active
MW_SL_26/27_KU_M1,MW_SL,MW_2026_27,MW_KU_M1,,,,active
MW_SL_26/27_CSU_M1,MW_SL,MW_2026_27,MW_CSU_M1,,,,active
