goal_id,match_id,team_id,player_name,player_id,minute,stoppage,period,goal_type,assist_player_id,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at
59,32,INDIA_W,Aveka Singh,W_INT_IND_002,45,1,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
60,32,INDIA_W,Priyadharshini Selladurai,W_INT_IND_003,84,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
61,33,TANZANIA_W,Anastazia Katunzi,W_INT_TANZ_001,48,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_women's_national_football_team#Results_and_fixtures,,,,,
65,36,MW_W,Temwa Chawinga,CAF_MW_000530,73,,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
66,36,MW_W,Temwa Chawinga,CAF_MW_000530,90,5,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
67,36,MW_W,Tabitha Chawinga,CAF_MW_000503,79,,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
68,36,NIGERIA_W,Rasheedat Ajibade,W_INT_NI_001,90,2,2h,penalty,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
69,36,NIGERIA_W,Uchenna Kanu,W_INT_NI_002,90,9,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
70,37,MW_W,Rose Kadzere,CAF_MW_000513,35,,1h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
71,37,MW_W,Faith Chinzimu,CAF_MW_000538,45,2,1h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
72,37,MW_W,Temwa Chawinga,CAF_MW_000530,68,,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
73,37,EGYPT_W,Camilla Abouseif,W_INT_EGY_001,71,,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
74,38,MW_W,Tabitha Chawinga,CAF_MW_000503,72,,2h,,,fotmob,https://www.fotmob.com/matches/zambia-vs-malawi/141xz4xj6#1000005786:tab=facts,,,,,
75,38,ZAMBIA_W,Barbra Banda,W_INT_ZAM_002,2,,1h,,,fotmob,https://www.fotmob.com/matches/zambia-vs-malawi/141xz4xj6#1000005786:tab=facts,,,,,
76,38,ZAMBIA_W,Prisca Chilufya,W_INT_ZAM_003,37,,1h,,,fotmob,https://www.fotmob.com/matches/zambia-vs-malawi/141xz4xj6#1000005786:tab=facts,,,,,
77,39,MW_W,Temwa Chawinga,CAF_MW_000530,12,,1h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
78,39,MW_W,Rose Kadzere,CAF_MW_000513,79,,2h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
79,39,GHANA_W,Chantelle Boye-Hlorkah,W_INT_GHANA_002,7,,1h,,,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations#Group_C,,,,,
80,40,MW_W,Tabitha Chawinga,CAF_MW_000503,33,,1h,,,fotmob,https://www.fotmob.com/matches/malawi-vs-algeria/17rlf072h#1000018959,,,,,
81,40,MW_W,Temwa Chawinga,CAF_MW_000530,45,1,1h,,,fotmob,https://www.fotmob.com/matches/malawi-vs-algeria/17rlf072h#1000018959,,,,,
82,40,MW_W,Tabitha Chawinga,CAF_MW_000503,76,,2h,,,fotmob,https://www.fotmob.com/matches/malawi-vs-algeria/17rlf072h#1000018959,,,,,
83,40,ALGERIA_W,Ikram Adjabi,W_INT_ALG_001,60,,2h,,,fotmob,https://www.fotmob.com/matches/malawi-vs-algeria/17rlf072h#1000018959,,,,,
